yaw_encoder,data,dt
45.0,2021-04-26 19:20:26.322142,62.998799000000005
45.0,2021-04-26 19:20:26.521395,63.19805
45.0,2021-04-26 19:20:26.719098,63.395747
45.0,2021-04-26 19:20:26.918572,63.595227
45.0,2021-04-26 19:20:27.118093,63.79475
45.0,2021-04-26 19:20:27.317669,63.994311
45.0,2021-04-26 19:20:27.517247,64.19390200000001
45.0,2021-04-26 19:20:27.716786,64.393444
54.0,2021-04-26 19:20:27.920315,64.596969
54.0,2021-04-26 19:20:28.119795,64.796453
54.0,2021-04-26 19:20:28.320214,64.996866
54.0,2021-04-26 19:20:28.518913,65.195573
54.0,2021-04-26 19:20:28.718490,65.395145
54.0,2021-04-26 19:20:28.918078,65.594734
54.0,2021-04-26 19:20:29.117949,65.7946
54.0,2021-04-26 19:20:29.317135,65.993793
54.0,2021-04-26 19:20:29.516717,66.193372
54.0,2021-04-26 19:20:29.720415,66.39707299999999
54.0,2021-04-26 19:20:29.919804,66.596448
54.0,2021-04-26 19:20:30.119292,66.79594999999999
54.0,2021-04-26 19:20:30.318840,66.99549699999999
54.0,2021-04-26 19:20:30.518369,67.19502599999998
54.0,2021-04-26 19:20:30.719844,67.39650299999998
63.0,2021-04-26 19:20:30.917531,67.59418399999998
63.0,2021-04-26 19:20:31.117123,67.79377799999999
54.0,2021-04-26 19:20:31.316589,67.99324999999999
54.0,2021-04-26 19:20:31.520092,68.19675
54.0,2021-04-26 19:20:31.719637,68.396294
54.0,2021-04-26 19:20:31.919179,68.595838
54.0,2021-04-26 19:20:32.120511,68.797165
54.0,2021-04-26 19:20:32.318330,68.994983
54.0,2021-04-26 19:20:32.517857,69.194514
54.0,2021-04-26 19:20:32.717382,69.39404
54.0,2021-04-26 19:20:32.916952,69.593613
54.0,2021-04-26 19:20:33.116489,69.79314600000001
54.0,2021-04-26 19:20:33.320000,69.99665800000001
54.0,2021-04-26 19:20:33.519574,70.19622500000001
54.0,2021-04-26 19:20:33.719117,70.39576800000002
54.0,2021-04-26 19:20:33.924217,70.60087500000002
54.0,2021-04-26 19:20:34.119879,70.79653300000001
54.0,2021-04-26 19:20:34.317756,70.99441300000001
54.0,2021-04-26 19:20:34.517276,71.19393300000002
54.0,2021-04-26 19:20:34.716851,71.39350800000001
54.0,2021-04-26 19:20:34.919706,71.596359
54.0,2021-04-26 19:20:35.119931,71.796574
54.0,2021-04-26 19:20:35.321764,71.998423
54.0,2021-04-26 19:20:35.519012,72.19566900000001
54.0,2021-04-26 19:20:35.718551,72.39520900000001
54.0,2021-04-26 19:20:35.918122,72.59477400000002
54.0,2021-04-26 19:20:36.117713,72.79437100000001
54.0,2021-04-26 19:20:36.318406,72.99505800000001
54.0,2021-04-26 19:20:36.516800,73.19345600000001
54.0,2021-04-26 19:20:36.717822,73.39448000000002
54.0,2021-04-26 19:20:36.920214,73.59687300000002
54.0,2021-04-26 19:20:37.119514,73.79615100000002
54.0,2021-04-26 19:20:37.318954,73.99559900000003
54.0,2021-04-26 19:20:37.518458,74.19511600000003
54.0,2021-04-26 19:20:37.718095,74.39474900000003
54.0,2021-04-26 19:20:37.917599,74.59425200000004
54.0,2021-04-26 19:20:38.117146,74.79380200000004
54.0,2021-04-26 19:20:38.317267,74.99392600000004
54.0,2021-04-26 19:20:38.518049,75.19470600000004
54.0,2021-04-26 19:20:38.715781,75.39243900000004
54.0,2021-04-26 19:20:38.919247,75.59590600000004
54.0,2021-04-26 19:20:39.118809,75.79546400000004
54.0,2021-04-26 19:20:39.318349,75.99500600000003
54.0,2021-04-26 19:20:39.517933,76.19458800000004
54.0,2021-04-26 19:20:39.717491,76.39414800000004
54.0,2021-04-26 19:20:39.917074,76.59373200000005
54.0,2021-04-26 19:20:40.116566,76.79322200000004
54.0,2021-04-26 19:20:40.316105,76.99276300000004
54.0,2021-04-26 19:20:40.515679,77.19233700000004
54.0,2021-04-26 19:20:40.719188,77.39584300000004
