X_k,Y_k,Altura,Orientacao_k,Tempo
36.86786726057835,-300.0363922064306,-36.0994987487793,-177.19737742267566,1607527693.3372586
36.689643078475235,-300.04726551897835,-36.10650634765625,-177.1990388336743,1607527693.5381505
36.355312880893344,-300.06462138517617,-36.09140396118164,-177.2372882863866,1607527694.1398892
36.13762003720214,-300.0761357093983,-36.09307098388672,-177.20219857779108,1607527694.3415127
35.96887564577669,-300.0848152143152,-36.09754943847656,-177.1612355337126,1607527694.5487401
35.80898722456561,-300.09026177194846,-36.105865478515625,-177.17066453980718,1607527694.7495458
35.5024524496628,-300.0976986675948,-36.09126663208008,-177.227549895535,1607527695.3513956
35.336625302174646,-300.1015577975898,-36.092227935791016,-177.21555970000534,1607527695.5521314
35.253716783785954,-300.10337135029056,-36.0923957824707,-177.19421993991352,1607527695.7529974
35.15679218947783,-300.1056483814268,-36.09523010253906,-177.1413868602264,1607527695.9537225
35.05659570245399,-300.1085928289864,-36.10108947753906,-177.1268924130184,1607527696.1545956
34.78926077057216,-300.118450104824,-36.08338165283203,-177.1592793968767,1607527696.7564626
34.63580854171559,-300.1249123579341,-36.08166122436523,-177.16583502982695,1607527696.957253
34.51402749243559,-300.13070023747247,-36.08216094970703,-177.10882957027425,1607527697.1580398
34.41335926774604,-300.135362927803,-36.08492660522461,-177.05963030426665,1607527697.3588152
34.307097774851194,-300.1403125483202,-36.09077453613281,-177.05349964467763,1607527697.5596905
34.224850482202704,-300.1442966950858,-36.09490585327149,-177.05651465228,1607527697.7615538
34.149988727509935,-300.1479120636936,-36.098934173583984,-177.06377901191252,1607527697.962368
34.01445513325058,-300.1545740637698,-36.10808563232422,-177.0745372837421,1607527698.1631188
33.698529564409874,-300.173848340141,-36.0890998840332,-177.12481423148589,1607527698.7650106
33.524577048627414,-300.18537871762453,-36.08919143676758,-177.11517902138263,1607527698.9657454
33.412833932165746,-300.191574715471,-36.08968353271485,-177.0633258209736,1607527699.1664975
33.33928363834718,-300.1948466992799,-36.091121673583984,-177.02484778936343,1607527699.3672676
33.204873387284536,-300.1999252486929,-36.10070037841797,-177.01551216162127,1607527699.568078
32.966916417078274,-300.2116727502337,-36.087318420410156,-177.0347406622597,1607527699.969343
32.81708227053317,-300.21974346764114,-36.09461975097656,-177.06550763970657,1607527700.1702
32.68471596433223,-300.22733396260514,-36.09622192382813,-177.02019061617335,1607527700.3708858
32.57428024796598,-300.2327417734612,-36.10100173950195,-176.99220837981665,1607527700.5716538
32.32281936315577,-300.2445584589804,-36.08420181274414,-177.02919866692633,1607527701.173583
32.15273374455955,-300.25167483548825,-36.087650299072266,-177.02666996917822,1607527701.3750215
32.03431149071666,-300.25626027859056,-36.08709335327149,-176.9950080376997,1607527701.578892
31.95401933709625,-300.2591999987359,-36.08865356445313,-176.96878988815936,1607527701.7796216
31.859043044260837,-300.2629822588895,-36.09272766113281,-176.95691179300408,1607527701.9803872
31.76609421644517,-300.2670297579878,-36.0965461730957,-176.96203269847092,1607527702.1812382
31.60702609118776,-300.2722347797778,-36.10528564453125,-176.98144702913822,1607527702.3819695
31.317402233929723,-300.2799943567533,-36.088340759277344,-176.9980223352751,1607527702.9838436
31.144354435281215,-300.28327888672874,-36.09722137451172,-177.01573845601567,1607527703.1847956
30.958069684437977,-300.2858348676792,-36.10408401489258,-176.95819025693297,1607527703.3856876
30.68243950327031,-300.2892253607963,-36.09024429321289,-176.99744499495978,1607527703.9878607
30.495543489353246,-300.2890492636866,-36.09933471679688,-177.01748049123455,1607527704.188771
30.371919121559227,-300.28873680886903,-36.09977340698242,-176.97145378545838,1607527704.3896642
30.258249504700213,-300.28950392407387,-36.10560989379883,-176.928357940733,1607527704.5906155
30.05896037729708,-300.29181505236613,-36.08855438232422,-176.93903749817213,1607527704.991892
29.90687289089149,-300.2937917570525,-36.09429168701172,-176.9880603506409,1607527705.1926975
29.816889215154994,-300.29530122707837,-36.09785079956055,-176.97038519134856,1607527705.3948472
29.72086694083062,-300.29757527437147,-36.09896469116211,-176.9334905304692,1607527705.5955772
29.63020036793268,-300.29963211987916,-36.10391616821289,-176.89933912037986,1607527705.7962766
29.39532499535545,-300.30835820407896,-36.09126281738281,-176.93532566575348,1607527706.3980653
29.228470681767,-300.3147467375413,-36.09891891479492,-176.95690867569934,1607527706.5988214
29.112681919667544,-300.31954455275263,-36.10005569458008,-176.91964999085698,1607527706.799844
28.8729353802713,-300.3287329063005,-36.08922576904297,-176.9721673652477,1607527707.402025
28.74519928935526,-300.33186532704445,-36.09704971313477,-176.9659623643761,1607527707.602933
